DATA;ANO;MÊS;MUNICÍPIO;PONTO;COLIFORMES;CLASSE
27/05/10;2010;MAI;NF;NF03;13;E
02/06/10;2010;JUN;NF;NF03;23;E
10/06/10;2010;JUN;NF;NF03;49;E
17/06/10;2010;JUN;NF;NF03;7;E
24/06/10;2010;JUN;NF;NF03;70;E
01/07/10;2010;JUL;NF;NF03;2;E
08/07/10;2010;JUL;NF;NF03;2;E
15/07/10;2010;JUL;NF;NF03;7;E
29/07/10;2010;JUL;NF;NF03;2;E
05/08/10;2010;AGO;NF;NF03;14;E
12/08/10;2010;AGO;NF;NF03;17;E
19/08/10;2010;AGO;NF;NF03;2;E
26/08/10;2010;AGO;NF;NF03;8;E
02/09/10;2010;SET;NF;NF03;27;E
09/09/10;2010;SET;NF;NF03;13;E
16/09/10;2010;SET;NF;NF03;14;E
23/09/10;2010;SET;NF;NF03;2;E
30/09/10;2010;SET;NF;NF03;5;E
07/10/10;2010;OUT;NF;NF03;2;E
14/10/10;2010;OUT;NF;NF03;2;E
21/10/10;2010;OUT;NF;NF03;8;E
28/10/10;2010;OUT;NF;NF03;5;E
04/11/10;2010;NOV;NF;NF03;2;E
11/11/10;2010;NOV;NF;NF03;11;E
18/11/10;2010;NOV;NF;NF03;2;E
25/11/10;2010;NOV;NF;NF03;2;E
02/12/10;2010;DEZ;NF;NF03;2;E
09/12/10;2010;DEZ;NF;NF03;2;E
30/12/10;2010;DEZ;NF;NF03;2;E
07/01/10;2010;JAN;NF;NF04;1100;I
14/01/10;2010;JAN;NF;NF04;130;S
21/01/10;2010;JAN;NF;NF04;2400;I
28/01/10;2010;JAN;NF;NF04;94;I
04/02/10;2010;FEV;NF;NF04;79;I
11/02/10;2010;FEV;NF;NF04;1600;I
18/02/10;2010;FEV;NF;NF04;140;I
25/02/10;2010;FEV;NF;NF04;1600;I
04/03/10;2010;MAR;NF;NF04;79;I
11/03/10;2010;MAR;NF;NF04;280;I
18/03/10;2010;MAR;NF;NF04;49;B
25/03/10;2010;MAR;NF;NF04;10;B
31/03/10;2010;MAR;NF;NF04;22;E
15/04/10;2010;ABR;NF;NF04;33;E
22/04/10;2010;ABR;NF;NF04;8;E
29/04/10;2010;ABR;NF;NF04;23;E
06/05/10;2010;MAI;NF;NF04;1100;I
13/05/10;2010;MAI;NF;NF04;130;E
20/05/10;2010;MAI;NF;NF04;33;E
27/05/10;2010;MAI;NF;NF04;49;E
02/06/10;2010;JUN;NF;NF04;23;E
10/06/10;2010;JUN;NF;NF04;27;E
17/06/10;2010;JUN;NF;NF04;33;E
24/06/10;2010;JUN;NF;NF04;1600;E
01/07/10;2010;JUL;NF;NF04;33;E
08/07/10;2010;JUL;NF;NF04;2;E
15/07/10;2010;JUL;NF;NF04;46;E
29/07/10;2010;JUL;NF;NF04;11;E
05/08/10;2010;AGO;NF;NF04;7;E
12/08/10;2010;AGO;NF;NF04;70;E
19/08/10;2010;AGO;NF;NF04;5;E
26/08/10;2010;AGO;NF;NF04;17;E
